TOKEN		OUTPUT			CORRECT
þa			þiggia (0.5)			þa
ær			ær (0)			vara
þæt			þæt (0)			þän
eþær			eþær (0)			eþer
þrætylftær			þrætylftær (0)			þrätylfter
bristær			bristær (0)			brista
at			ägha (0.5)			at
eþe			eþe (0)			eþer
markær			markær (0)			mark
ok			uk (1)			ok
egh			äg (0.666667)			eigh
ok			uk (1)			ok
egh			äg (0.666667)			eigh
stial			stial (0)			stiäla
akre			akre (0)			aker
ok			uk (1)			ok
brytær			brytær (0)			bryta
guzs			guzs (0)			guþ
bindær			bindær (0)			binda
sær			sær (0)			sik
ok			uk (1)			ok
bær			bær (0)			bära
læþiu			læþiu (0)			läþia
ælla			ælla (0)			älla
ok			uk (1)			ok
þriskær			þriskær (0)			þriska
hetir			hetir (0)			heta
aghnabakær			aghnabakær (0)			aghna­baker
warþær			warþær (0)			varþa
uiþær			uiþær (0)			viþ
ok			uk (1)			ok
þa			þiggia (0.5)			þa
hauær			hauær (0)			hava
foruærkat			foruærkat (0)			forvärka
liui			liui (0)			lif
sinu			sina (1)			sin
ok			uk (1)			ok
ok			uk (1)			ok
allu			allu (0)			alder
a			af (0.666667)			ägha
gange			gange (0)			ganga
alt			alt (0)			alder
skiptis			skiptis (0)			skipte
taki			taki (0)			taka
þriþiung			þriþiung (0)			þriþiunger
þæn			þæn (0)			þän
sik			sighia (0.5)			sik
sökir			sökir (0)			sökia
annan			annan (0)			annar
kunungær			kunungær (0)			konunger
hæræþe			hæræþe (0)			häraþe
þa			þiggia (0.5)			þa
þingx			þingx (0)			þing
þær			þær (0)			þär
uitni			uitni (0)			vitne
a			af (0.666667)			a
þæt			þæt (0)			þän
tue			tue (0)			tver
suæria			suæria (0)			sväria
at			ägha (0.5)			at
ær			ær (0)			vara
at			ägha (0.5)			at
sandær			sandær (0)			sander
þiuuær			þiuuær (0)			þiuver
þæt			þæt (0)			þän
andre			andre (0)			annar
tue			tue (0)			tver
uita			uita (0)			vita
ok			uk (1)			ok
suæria			suæria (0)			sväria
at			ägha (0.5)			at
þa			þiggia (0.5)			þa
uar			uar (0)			vara
stulin			stulin (0)			stiäla
þa			þiggia (0.5)			þa
uar			uar (0)			vara
skærskutat			skærskutat (0)			skärskuta
ok			uk (1)			ok
sua			sua (0)			sva
tue			tue (0)			tver
at			ägha (0.5)			at
ær			ær (0)			vara
fuldær			fuldær (0)			fulder
þiufnaþær			þiufnaþær (0)			þiufnaþer
a			af (0.666667)			a
bak			bak (0)			baker
taks			taks (0)			taka
egh			äg (0.666667)			eigh
agnabakær			agnabakær (0)			aghna­baker
mæþ			mæþ (0)			mäþ
þa			þiggia (0.5)			þa
ær			ær (0)			vara
þæt			þæt (0)			þän
eþær			eþær (0)			eþer
þrætylftær			þrætylftær (0)			þrätylfter
bristær			bristær (0)			brista
at			ägha (0.5)			at
eþe			eþe (0)			eþer
fiæþærtiught			fiæþærtiught (0)			fiäþertiugher
ok			uk (1)			ok
atær			atær (0)			ater
þæt			þæt (0)			þän
tok			þo (0.666667)			taka
warþær			warþær (0)			varþa
dræpin			dræpin (0)			dräpa
þa			þiggia (0.5)			þa
ær			ær (0)			vara
þæt			þæt (0)			þän
sua			sua (0)			sva
uær			uær (0)			vara
skilt			skilt (0)			skilia
ok			uk (1)			ok
hon			han (1)			hon
uarþær			uarþær (0)			varþa
gild			gild (0)			gilder
at			ägha (0.5)			at
markum			markum (0)			mark
uitzs orþ			uitzs orþ (0)			vitsorþ
æfte			æfte (0)			äptir
mæla			mæla (0)			mäla
þerre			þerre (0)			þän
kunu			kunu (0)			kona
uita			uita (0)			vita
at			ägha (0.5)			at
hun			hun (0)			hon
uar			uar (0)			vara
mæþ			mæþ (0)			mäþ
barne			barne (0)			barn
dighær			dighær (0)			digher
þa			þiggia (0.5)			þa
ær			ær (0)			vara
hun			hun (0)			hon
gild			gild (0)			gilder
at			ägha (0.5)			at
hundraþa			hundraþa (0)			hundraþ
markum			markum (0)			mark
þer			þär (0.75)			þän
uita			uita (0)			vita
at			ägha (0.5)			at
hon			han (1)			hon
uar			uar (0)			vara
mæþ			mæþ (0)			mäþ
tuem			tuem (0)			tver
þa			þiggia (0.5)			þa
ær			ær (0)			vara
hon			han (1)			hon
gild			gild (0)			gilder
at			ägha (0.5)			at
siaxtantighi			siaxtantighi (0)			siäxtantighi
markum			markum (0)			mark
uarþær			uarþær (0)			varþa
a			af (0.666667)			a
skipum			skipum (0)			skip
dræpin			dræpin (0)			dräpa
borþzs			borþzs (0)			borþ
ok			uk (1)			ok
bita			bita (0)			biti
ær			ær (0)			vara
gildær			gildær (0)			gilder
at			ägha (0.5)			at
markum			markum (0)			mark
warþær			warþær (0)			varþa
dræpin			dræpin (0)			dräpa
wærþ			wærþ (0)			värdh
ok			uk (1)			ok
uaku			uaku (0)			vaka
þa			þiggia (0.5)			þa
ær			ær (0)			vara
gildær			gildær (0)			gilder
at			ägha (0.5)			at
markum			markum (0)			mark
ær			ær (0)			vara
sænktær			sænktær (0)			sänkia
niþær			niþær (0)			niþer
þa			þiggia (0.5)			þa
ær			ær (0)			vara
gildær			gildær (0)			gilder
at			ägha (0.5)			at
siaxtantighi			siaxtantighi (0)			siäxtantighi
markum			markum (0)			mark
hær			hær (0)			här
byrias			byrias (0)			byria
drapa balkær			drapa balkær (0)			drapa balker*
tælias			tælias (0)			tälia
flokka			flokka (0)			flokker
en			än (0.666667)			en
ok			uk (1)			ok
kombær			kombær (0)			koma
skialnaþær			skialnaþær (0)			skilnaþer
mællum			mællum (0)			mällom
ok			uk (1)			ok
dræpær			dræpær (0)			dräpa
þerra			þerra (0)			þän
annan			annan (0)			annar
þær			þær (0)			þär
liggær			liggær (0)			liggia
maþær			maþær (0)			maþer
ok			uk (1)			ok
bötin			bötin (0)			böta
bæggia			bæggia (0)			baþir
arua			arua (0)			arve
kunungxs ræt			kunungxs ræt (0)			konungs rätter
örtughær			örtughær (0)			örtogh
ok			uk (1)			ok
þrættan			þrættan (0)			þrättan
markær			markær (0)			mark
ok			uk (1)			ok
samuleþ			samuleþ (0)			samu leþ
hæraþe			hæraþe (0)			häraþe
þerra			þerra (0)			þän
dræpær			dræpær (0)			dräpa
maþær			maþær (0)			maþer
koma			koma (0)			koma+til
arua			arua (0)			arve
manzsins			manzsins (0)			maþer
ok			uk (1)			ok
fa			far (1)			fa
draparan			draparan (0)			drapare
ok			uk (1)			ok
hugga			hugga (0)			hugga+niþer
þær			þær (0)			þär
niþær			niþær (0)			niþer
a			af (0.666667)			a
fötær			fötær (0)			foter
þæs			þæs (0)			þän
döþa			döþa (0)			döþer
þa			þiggia (0.5)			þa
liggær			liggær (0)			liggia
þær			þær (0)			þär
maþær			maþær (0)			maþer
ok			uk (1)			ok
þæs			þæs (0)			þän
þerra			þerra (0)			þän
arwa			arwa (0)			arve
förra			förra (0)			fyrre
drap			drap (0)			dräpa
baþe			baþir (1)			baþe
kununge			kununge (0)			konunger
ok			uk (1)			ok
hæraþe			hæraþe (0)			häraþe
uar			uar (0)			vara
skilt			skilt (0)			skilia
ok			uk (1)			ok
sami			sami (0)			samber
ættin			ættin (0)			ät
för			fyr (1)			for
þer			þär (0.75)			þän
huatske			huatske (0)			hvarte
kununge			kununge (0)			konunger
ælla			ælla (0)			älla
hæræþe			hæræþe (0)			häraþe
ok			uk (1)			ok
egh			äg (0.666667)			eigh
æn			æn (0)			än
þær			þær (0)			þän
sannan			sannan (0)			sander
drapu			drapu (0)			dräpa
fa			far (1)			fa
draparan			draparan (0)			drapare
ok			uk (1)			ok
dræpa			dræpa (0)			dräpa
egh			äg (0.666667)			eigh
ginsta			ginsta (0)			gensta
þa			þiggia (0.5)			þa
þer			þär (0.75)			þän
þingxs			þingxs (0)			þing
egh			äg (0.666667)			eigh
þer			þär (0.75)			þän
arma			arma (0)			armber
ok			uk (1)			ok
egh			äg (0.666667)			eigh
se			sea (0.5)			vara
mæþ			mæþ (0)			mäþ
lagha			lagh (1)			lagha
hæftum			hæftum (0)			häpte
þer			þär (0.75)			þän
þæt			þæt (0)			þän
æru			æru (0)			vara
lagha			lagh (1)			lagha
hæfte			hæfte (0)			häpte
fiætra			fiætra (0)			fiätra
ok			uk (1)			ok
ærma bande			ærma bande (0)			ärma band
ok			uk (1)			ok
iuir			iuir (0)			ivir
lykkia			lykka (1)			lykkia
ok			uk (1)			ok
iuir			iuir (0)			ivir
hse			hse (0)			hus
uadþ			uadþ (0)			vakt
halda			halla (1)			halda
mæn			mæn (0)			maþer
frændær			frændær (0)			frände
æru			æru (0)			vara
ok			uk (1)			ok
uilia			uilia (0)			vilia
draparan			draparan (0)			drapare
mæþ			mæþ (0)			mäþ
ualde			ualde (0)			vald
ræna			ræna (0)			räna
þa			þiggia (0.5)			þa
þer			þär (0.75)			þän
kunungxs			kunungxs (0)			konunger
eþzsöre			eþzsöre (0)			eþsöre
ælla			ælla (0)			älla
ræna			ræna (0)			räna
þer			þär (0.75)			þän
a			af (0.666667)			a
þinge			þinge (0)			þing
ælla			ælla (0)			älla
a			af (0.666667)			a
þingxs uægh			þingxs uægh (0)			þing vägher
þa			þiggia (0.5)			þa
ok			uk (1)			ok
eþzsörit			eþzsörit (0)			eþsöre
þa			þiggia (0.5)			þa
æn			æn (0)			än
þer			þär (0.75)			þän
ræna			ræna (0)			räna
ok			uk (1)			ok
huatske			huatske (0)			hvarte
a			af (0.666667)			a
þinge			þinge (0)			þing
ælla			ælla (0)			älla
heme			heme (0)			hember
þa			þiggia (0.5)			þa
þer			þär (0.75)			þän
brutit			brutit (0)			bryta
þa			þiggia (0.5)			þa
þæn			þæn (0)			þän
þær			þær (0)			þär
ær			ær (0)			vara
at			ägha (0.5)			at
ær			ær (0)			vara
sakær			sakær (0)			saker
at			ägha (0.5)			at
markum			markum (0)			mark
ok			uk (1)			ok
þæn			þæn (0)			þän
þær			þær (0)			þär
uær			uær (0)			vara
fluk			fluk (0)			flokker
ok			uk (1)			ok
mæþ			mæþ (0)			mäþ
þa			þiggia (0.5)			þa
þrea			þrea (0)			þrir
markær			markær (0)			mark
þer			þär (0.75)			þän
þingxs			þingxs (0)			þing
þa			þiggia (0.5)			þa
uitnas			uitnas (0)			vitna
fram aleþe			fram aleþe (0)			framleþis
ok			uk (1)			ok
saklöst			saklöst (0)			saklös
egh			äg (0.666667)			eigh
draparan			draparan (0)			drapare
sialfs			sialfs (0)			siälver
heme			heme (0)			hem
ælla			ælla (0)			älla
annars			annars (0)			annar
manzs			manzs (0)			maþer
heme			heme (0)			hem
gensta			gensta (0)			genast
uiþ			uiþ (0)			viþ
drapit			drapit (0)			drap
þæt			þæt (0)			þän
ær			ær (0)			vara
sua			sua (0)			sva
undistandande			undistandande (0)			undirstanda
at			ägha (0.5)			at
æru			æru (0)			vara
þer			þär (0.75)			þän
nær stadde			nær stadde (0)			närstadder
þa			þiggia (0.5)			þa
þer			þär (0.75)			þän
ok			uk (1)			ok
egh			äg (0.666667)			eigh
annan			annan (0)			annar
garþ			garþ (0)			garþer
æftir			æftir (0)			äptir
se			sea (0.5)			vara
þa			þiggia (0.5)			þa
æn			æn (0)			än
ær			ær (0)			vara
þa			þiggia (0.5)			þa
þer			þär (0.75)			þän
uilia			uilia (0)			vilia
uarþ			uarþ (0)			varþer
iuir			iuir (0)			ivir
garþe			garþe (0)			garþer
halda			halla (1)			halda
ær			ær (0)			vara
egh			äg (0.666667)			eigh
þer			þär (0.75)			þän
mæþ			mæþ (0)			mäþ
ualde			ualde (0)			vald
þer			þär (0.75)			þän
hæræzs höfþinga			hæræzs höfþinga (0)			häradshöfþinge
fa			far (1)			fa
hærazs höfþingi			hærazs höfþingi (0)			häradshöfþinge
buþ kafla			buþ kafla (0)			buþkafle
up skæra			up skæra (0)			upskära
ok			uk (1)			ok
mæþ			mæþ (0)			mäþ
hæræzs mannum			hæræzs mannum (0)			härads man
æn			æn (0)			än
þæn			þæn (0)			þän
draparan			draparan (0)			drapare
hauær			hauær (0)			hava
ælti			ælti (0)			älta
uarþe			uarþe (0)			varþer
ællas			ællas (0)			älla
hærazs höfþingan			hærazs höfþingan (0)			häradshöfþinge
bort			borþ (1)			bort
þa			þiggia (0.5)			þa
hauær			hauær (0)			hava
brutit			brutit (0)			bryta
þa			þiggia (0.5)			þa
huwzs mannin			huwzs mannin (0)			hovuds man
þær			þær (0)			þär
ær			ær (0)			vara
at			ägha (0.5)			at
fiutatighi			fiutatighi (0)			fiuratighi
markær			markær (0)			mark
ok			uk (1)			ok
þæn			þæn (0)			þän
þær			þær (0)			þär
uar			uar (0)			vara
mæþ			mæþ (0)			mäþ
flok			flok (0)			flokker
ok			uk (1)			ok
þa			þiggia (0.5)			þa
þrea			þrea (0)			þrir
markær			markær (0)			mark
þæn			þæn (0)			þän
uæria			uæria (0)			väria
uill			uill (0)			vilia
fa			far (1)			fa
sar			sa (1)			sar
þa			þiggia (0.5)			þa
ær			ær (0)			vara
þæt			þæt (0)			þän
alt			alt (0)			alder
ugilt			ugilt (0)			ogilder
æn			æn (0)			än
egh			äg (0.666667)			eigh
þa			þiggia (0.5)			þa
ær			ær (0)			vara
þæt			þæt (0)			þän
alt			alt (0)			alder
ugilt			ugilt (0)			ogilder
æn			æn (0)			än
egh			äg (0.666667)			eigh
þa			þiggia (0.5)			þa
hærazs höfþingi			hærazs höfþingi (0)			häradshöfþinge
iuir			iuir (0)			ivir
ok			uk (1)			ok
mæþ			mæþ (0)			mäþ
wald			wald (0)			vald
þær			þær (0)			þär
ok			uk (1)			ok
þingxs			þingxs (0)			þing
þær			þær (0)			þär
uitna			uitna (0)			vitna
ok			uk (1)			ok
hærazs höfþinga			hærazs höfþinga (0)			häradshöfþinge
ok			uk (1)			ok
kombær			kombær (0)			koma
egh			äg (0.666667)			eigh
ælla			ælla (0)			älla
þæn			þæn (0)			þän
staþ			staþ (0)			staþer
ær			ær (0)			vara
þa			þiggia (0.5)			þa
skæri			skæri (0)			skära
bondin			bondin (0)			bonde
buþ kafla			buþ kafla (0)			buþkafle
ok			uk (1)			ok
fa			far (1)			fa
fiarþungxs höfþinganum			fiarþungxs höfþinganum (0)			fiärþungs höfþinge
hæraþinu			hæraþinu (0)			häraþe
ok			uk (1)			ok
giuin			giuin (0)			giva
þer			þär (0.75)			þän
þæn			þæn (0)			þän
sama			sama (0)			samber
ræt			ræt (0)			rätter
hærazs höfþinganum			hærazs höfþinganum (0)			häradshöfþinge
ok			uk (1)			ok
stande			stande (0)			standa
þæt			þæt (0)			þän
hærazs hæmdinna			hærazs hæmdinna (0)			härads nämd
huat			huat (0)			hvat
hæræzs höþingin			hæræzs höþingin (0)			häradshöfþinge
ællar			ællar (0)			älla
ælla			ælla (0)			älla
hafþe			hafþe (0)			hava
san			san (0)			sander
forfall			forfall (0)			forfal
ælla			ælla (0)			älla
þæn			þæn (0)			þän
staþ			staþ (0)			staþer
ær			ær (0)			vara
hauær			hauær (0)			hava
hutske			hutske (0)			hvarte
ælla			ælla (0)			älla
þæn			þæn (0)			þän
staþ			staþ (0)			staþer
ær			ær (0)			vara
markær			markær (0)			mark
þa			þiggia (0.5)			þa
taki			taki (0)			taka
malsæghandin			malsæghandin (0)			malsäghande
att			at (0.5)			atta
örtughur			örtughur (0)			örtogh
ok			uk (1)			ok
þrættan			þrættan (0)			þrättan
mærkær			mærkær (0)			mark
ok			uk (1)			ok
samuleþ			samuleþ (0)			samu leþ
kunungur			kunungur (0)			konunger
ok			uk (1)			ok
hæræþe			hæræþe (0)			häraþe
dræpær			dræpær (0)			dräpa
inlændingær			inlændingær (0)			inländinger
inlæding			inlæding (0)			inländinger
þæn			þæn (0)			þän
drap			drap (0)			dräpa
hauær			hauær (0)			hava
firihuggit			firihuggit (0)			firi hugga
ok			uk (1)			ok
allu			allu (0)			alder
firi huggit			firi huggit (0)			firi hugga
a			af (0.666667)			ägha
lanzs			lanzs (0)			land
ok			uk (1)			ok
laghsaghu			laghsaghu (0)			laghsagha
þa			þiggia (0.5)			þa
drapara			drapara (0)			drapare
ennæt þing			ennæt þing (0)			ennät þing
stæmna			stæmna (0)			stämna
ok			uk (1)			ok
a			af (0.666667)			a
första			forestanda (1)			fyrster
þingi			þingi (0)			þing
þæt			þæt (0)			þän
tue			tue (0)			tver
mæn			mæn (0)			maþer
uita			uita (0)			vita
at			ägha (0.5)			at
ær			ær (0)			vara
sandær			sandær (0)			sander
at			ägha (0.5)			at
drape			drape (0)			drap
þæt			þæt (0)			þän
andre			andre (0)			annar
tue			tue (0)			tver
uita			uita (0)			vita
at			ägha (0.5)			at
þæt			þæt (0)			þän
uar			uar (0)			vara
skærskutat			skærskutat (0)			skärskuta
a			af (0.666667)			a
sama			sama (0)			samber
dagh			dag (1)			dagher
ok			uk (1)			ok
sama			sama (0)			samber
döghni			döghni (0)			döghn
ok			uk (1)			ok
lagh			liggia (1)			lagh
uaru			uaru (0)			vara
tue			tue (0)			tver
þæt			þæt (0)			þän
uita			uita (0)			vita
at			ägha (0.5)			at
uar			uar (0)			vara
þing stæmt			þing stæmt (0)			þingstämna
firi			firi (0)			for
sanna			sanna (0)			sander
gærþ			gærþ (0)			gärþ
þæt			þæt (0)			þän
uara			uara (0)			vara
böndær			böndær (0)			bonde
ok			uk (1)			ok
boande			boande (0)			boa
mæn			mæn (0)			maþer
þæn			þæn (0)			þän
annars			annars (0)			annar
bo			boa (1)			bo
gærþ			gærþ (0)			gärþ
þæt			þæt (0)			þän
uara			uara (0)			vara
böndær			böndær (0)			bonde
ok			uk (1)			ok
boande			boande (0)			boa
mæn			mæn (0)			maþer
þæn			þæn (0)			þän
annars			annars (0)			annar
bo			boa (1)			bo
sinu			sina (1)			sin
hauær			hauær (0)			hava
uidh hætaa			uidh hætaa (0)			viþerhätta
löska mæn			löska mæn (0)			löskaman
ælla			ælla (0)			älla
leghu drængia			leghu drængia (0)			leghodränger
þæn			þæn (0)			þän
draps			draps (0)			drap
a			af (0.666667)			a
wighualle			wighualle (0)			vighis valder
uar			uar (0)			vara
ok			uk (1)			ok
egh			äg (0.666667)			eigh
annan			annan (0)			annar
hærra			hærra (0)			härra
uisi			uisi (0)			visa
manni			manni (0)			maþer
ælla			ælla (0)			älla
þræli			þræli (0)			þräl
þa			þiggia (0.5)			þa
hældær			hældær (0)			hälder
þæn			þæn (0)			þän
uisa			uisa (0)			visa
ælla			ælla (0)			älla
þæn			þæn (0)			þän
drap			drap (0)			dräpa
uill			uill (0)			vilia
egh			äg (0.666667)			eigh
æpti			æpti (0)			äptir
kære			kære (0)			kära
ok			uk (1)			ok
iamlanga			iamlanga (0)			iämlange
kombær			kombær (0)			koma
þæn			þæn (0)			þän
þingxs			þingxs (0)			þing
drap			drap (0)			dräpa
ok			uk (1)			ok
iamlanga			iamlanga (0)			iämlange
ok			uk (1)			ok
gagær			gagær (0)			ganga+viþer
wiþ			wiþ (0)			viþ
drapinu			drapinu (0)			drap
þa			þiggia (0.5)			þa
ær			ær (0)			vara
hæræþit			hæræþit (0)			häraþe
saklöst			saklöst (0)			saklös
ok			uk (1)			ok
uiþær gangan			uiþær gangan (0)			viþerganga
ær			ær (0)			vara
gör			göra (1)			gör
þa			þiggia (0.5)			þa
taki			taki (0)			taka+til
þæn			þæn (0)			þän
sandær			sandær (0)			sander
ær			ær (0)			vara
at			ägha (0.5)			at
drape			drape (0)			drap
æn þo at			æn þo at (0)			än þo at
iamlangin			iamlangin (0)			iämlange
se			sea (0.5)			vara
þa			þiggia (0.5)			þa
söke			söke (0)			sökia
sua			sua (0)			sva
drapamalum			drapamalum (0)			drapamal
æn			æn (0)			än
huatske			huatske (0)			hvarte
gangær			gangær (0)			ganga+viþer
egh			äg (0.666667)			eigh
uiþ			uiþ (0)			viþ
ok			uk (1)			ok
iamlanga			iamlanga (0)			iämlange
ok			uk (1)			ok
stænnir			stænnir (0)			stämna
egh			äg (0.666667)			eigh
þa			þiggia (0.5)			þa
ær			ær (0)			vara
hæræþe			hæræþe (0)			häraþe
sakt			sakt (0)			saker
uiþ			uiþ (0)			viþ
kunungin			kunungin (0)			konunger
at			ägha (0.5)			at
markum			markum (0)			mark
firi			firi (0)			for
morþ gialdit			morþ gialdit (0)			morþgiäld
æftir			æftir (0)			äptir
kær			kær (0)			kära
huatske			huatske (0)			hvarte
ælla			ælla (0)			älla
stæmna			stæmna (0)			stämna
ælla			ælla (0)			älla
hæmna			hæmna (0)			hämna
sökir			sökir (0)			sökia
annan			annan (0)			annar
firi			firi (0)			for
ok			uk (1)			ok
kæris			kæris (0)			kära
sighær			sighær (0)			sighia
sik			sighia (0.5)			sik
egh			äg (0.666667)			eigh
nær			nær (0)			när
uarit			uarit (0)			vara
þa			þiggia (0.5)			þa
war			var (0.666667)			vara
dræpin			dræpin (0)			dräpa
þa			þiggia (0.5)			þa
suæria			suæria (0)			sväria
uista uitni			uista uitni (0)			vista vitne
mæþ			mæþ (0)			mäþ
mannum			mannum (0)			maþer
a			af (0.666667)			a
sama			sama (0)			samber
dagh			dag (1)			dagher
sakina			sakina (0)			sak
bo			boa (1)			bo
takum			takum (0)			tak
a			af (0.666667)			a
fæmtinne			fæmtinne (0)			fämt
þa			þiggia (0.5)			þa
suæria			suæria (0)			sväria
eþ			eþ (0)			eþer
æpte			æpte (0)			äptir
uittnit			uittnit (0)			vitne
þa			þiggia (0.5)			þa
ær			ær (0)			vara
þerra			þerra (0)			þän
þrænne tylftær			þrænne tylftær (0)			þrännetylfter
ok			uk (1)			ok
sua			sua (0)			sva
suæria			suæria (0)			sväria
at			ägha (0.5)			at
hinir			hinir (0)			hin
suoru			suoru (0)			sväria
suoru			suoru (0)			sväria
baþe			baþir (1)			baþe
ok			uk (1)			ok
lagh			liggia (1)			lagh
orkar			orkar (0)			orka
egh			äg (0.666667)			eigh
tylftar eþum			tylftar eþum (0)			tylftar eþer
þa			þiggia (0.5)			þa
falzs			falzs (0)			falla
fætillös			fætillös (0)			fätillös
suoro			suoro (0)			sväria
uitnumin			uitnumin (0)			vitne
falzs			falzs (0)			falla
firi			firi (0)			for
þer			þär (0.75)			þän
ok			uk (1)			ok
malsæghanda			malsæghanda (0)			malsäghande
ok			uk (1)			ok
hæraþe			hæraþe (0)			häraþe
ok			uk (1)			ok
kununge			kununge (0)			konunger
ok			uk (1)			ok
biskupe			biskupe (0)			biskoper
æn			æn (0)			än
suæria			suæria (0)			sväria
tylftar eþa			tylftar eþa (0)			tylftar eþer
þa			þiggia (0.5)			þa
uiti			uiti (0)			vitna
hærazs næmdin			hærazs næmdin (0)			härads nämd
huat			huat (0)			hvar
þær			þær (0)			þär
ær			ær (0)			vara
uær			uær (0)			väria
hæræzs næmdin			hæræzs næmdin (0)			härads nämd
draparan			draparan (0)			drapare
ok			uk (1)			ok
fællir			fællir (0)			fälla
sot			sot (0)			sökia
hauær			hauær (0)			hava
þa			þiggia (0.5)			þa
uisa			uisa (0)			visa
sannan			sannan (0)			sander
drapara			drapara (0)			drapare
ælla			ælla (0)			älla
hæraþit			hæraþit (0)			häraþe
þet			þet (0)			þän
morþgialdit			morþgialdit (0)			morþgiäld
gangær			gangær (0)			ganga+viþer
uiþær			uiþær (0)			viþ
at			ägha (0.5)			at
uar			uar (0)			vara
a			af (0.666667)			a
wighualle			wighualle (0)			vighvalder
þa			þiggia (0.5)			þa
dræpin			dræpin (0)			dräpa
uar			uar (0)			vara
ok			uk (1)			ok
þæs			þæs (0)			þän
egh			äg (0.666667)			eigh
uiliande			uiliande (0)			vilia
ælla			ælla (0)			älla
ualdande			ualdande (0)			valda
at			ägha (0.5)			at
döþ			döþ (0)			döþer
þa			þiggia (0.5)			þa
sua			sua (0)			sva
lagh			liggia (1)			lagh
at			ägha (0.5)			at
a			af (0.666667)			a
fæmtinne			fæmtinne (0)			fämt
þrætylftan			þrætylftan (0)			þrätylfter
eþ			eþ (0)			eþer
sua			sua (0)			sva
uar			uar (0)			vara
skilt			skilt (0)			skilia
æn			æn (0)			än
drapit			drapit (0)			drap
kænnis			kænnis (0)			känna
uill			uill (0)			vilia
egh			äg (0.666667)			eigh
suæria			suæria (0)			sväria
huatske			huatske (0)			hvarte
þa			þiggia (0.5)			þa
sökir			sökir (0)			sökia
ælla			ælla (0)			älla
a			af (0.666667)			a
fæmtinne			fæmtinne (0)			fämt
þa			þiggia (0.5)			þa
egh			äg (0.666667)			eigh
tylfta eþa			tylfta eþa (0)			tylftar eþer
æpte			æpte (0)			äptir
uitne			uitne (0)			vitne
suæria			suæria (0)			sväria
þa			þiggia (0.5)			þa
draparas			draparas (0)			drapare
bo			boa (1)			bo
skiptas			skiptas (0)			skipta
ok			uk (1)			ok
sialuær			sialuær (0)			siälver
alt			alt (0)			alder
þæt			þæt (0)			þän
þingunötit			þingunötit (0)			þingunöti
uar			uar (0)			vara
gör			göra (1)			gör
a			af (0.666667)			a
ok			uk (1)			ok
egh			äg (0.666667)			eigh
uiþarin			uiþarin (0)			viþer
æftir			æftir (0)			äptir
kæra			kæra (0)			kära
farin			farin (0)			fara
lioga þingxs			lioga þingxs (0)			Lionga þing*
ok			uk (1)			ok
uitin			uitin (0)			vitna
þær			þær (0)			þär
mæþ			mæþ (0)			mäþ
tuem			tuem (0)			tver
mannum			mannum (0)			maþer
at			ägha (0.5)			at
uar			uar (0)			vara
laghsottær			laghsottær (0)			laghsatter
a			af (0.666667)			a
malþingi			malþingi (0)			malþing
firi			firi (0)			for
sanna			sanna (0)			sander
gærþ			gærþ (0)			gärþ
þa			þiggia (0.5)			þän
laghsaghu			laghsaghu (0)			laghsagha
ok			uk (1)			ok
alle			alle (0)			alder
a			af (0.666667)			a
lionga þingi			lionga þingi (0)			Lionga þing*
uarþa			uarþa (0)			varþa
giorþe			giorþe (0)			göra
friþlösi			friþlösi (0)			friþlös
hua			hua (0)			hvar
samuist			samuist (0)			samvist
hauær			hauær (0)			hava
mæþ			mæþ (0)			mäþ
ær			ær (0)			vara
gör			göra (1)			gör
ok			uk (1)			ok
æpte			æpte (0)			äptir
hæræþit			hæræþit (0)			häraþe
ær			ær (0)			vara
þæt			þæt (0)			þän
en			än (0.666667)			en
þa			þiggia (0.5)			þa
þrea			þrea (0)			þrir
markær			markær (0)			mark
ælla			ælla (0)			älla
dyli			dyli (0)			dylia
mæþ			mæþ (0)			mäþ
eþe			eþe (0)			eþer
at			ägha (0.5)			at
hafþe			hafþe (0)			hava
egh			äg (0.666667)			eigh
samuist			samuist (0)			samvist
mæþ			mæþ (0)			mäþ
uisse			uisse (0)			vita
at			ägha (0.5)			at
uar			uar (0)			vara
æn			æn (0)			än
hauær			hauær (0)			hava
samuist			samuist (0)			samvist
mæþ			mæþ (0)			mäþ
þa			þiggia (0.5)			þa
þrea			þrea (0)			þrir
markær			markær (0)			mark
ælla			ælla (0)			älla
dyli			dyli (0)			dylia
mæþ			mæþ (0)			mäþ
sokna næmdinne			sokna næmdinne (0)			sokna nämd
sua			sua (0)			sva
skilt			skilt (0)			skilia
ær			ær (0)			vara
æn			æn (0)			än
fiarþungxs			fiarþungxs (0)			fiärþunger
hæræþe			hæræþe (0)			häraþe
hauær			hauær (0)			hava
samuist			samuist (0)			samvist
mæþ			mæþ (0)			mäþ
þa			þiggia (0.5)			þa
bötin			bötin (0)			böta
tiu			tiu (0)			tio
markær			markær (0)			mark
ælla			ælla (0)			älla
dylin			dylin (0)			dylia
mæþ			mæþ (0)			mäþ
fiarþungx næmdinne			fiarþungx næmdinne (0)			fiärþungs nämd
sua			sua (0)			sva
skilt			skilt (0)			skilia
ær			ær (0)			vara
æn			æn (0)			än
alt			alt (0)			alder
hæræþe			hæræþe (0)			häraþe
hauær			hauær (0)			hava
samuist			samuist (0)			samvist
mæþ			mæþ (0)			mäþ
þa			þiggia (0.5)			þa
bötin			bötin (0)			böta
markær			markær (0)			mark
