TOKEN		OUTPUT			CORRECT
i			i (0)			i
hanum			han (1)			han
utan			utan (0)			utan
han			han (1)			han
friþlös			friþlös (0)			friþlös
han			han (1)			han
friþlös			friþlös (0)			friþlös
skulu			skula (1)			skula
sum			sum (0)			sum
han			han (1)			han
taka			taka (0)			taka
þem			þän (1)			þän
sum			sum (0)			sum
han			han (1)			han
innan			innan (0)			innan
mughu			magha (1)			magha
han			han (1)			han
þaghar			þaghar (0)			þaghar
taka			taka (0)			taka
skulu			skula (1)			skula
buþ			buþ (0)			buþ
skal			skula (1)			skula
þit			þit (0)			þit
koma			koma (0)			koma
nu			nu (0)			nu
sum			sum (0)			sum
inne			inne (0)			inne
þöm			þän (1)			þän
af			af (0)			af
han			han (1)			han
gislinga lagh			gislinga lagh (0)			gislinga lagh
böte			böta (1)			böta
huar			hvar (1)			hvar
sum			sum (0)			sum
i			i (0)			i
farunöte			farunöte (0)			farunöte
böte			böta (1)			böta
kan			kunna (1)			kunna
sum			sum (0)			sum
hin			hin (0)			hin
sum			sum (0)			sum
han			han (1)			han
far			fa (0.333333)			fa
nu			nu (0)			nu
far			fa (0.333333)			fa
han			han (1)			han
sum			sum (0)			sum
han			han (1)			han
far			fa (0.333333)			fa
nu			nu (0)			nu
han			han (1)			han
far			fa (0.333333)			fa
han			han (1)			han
ma			magha (1)			magha
dyr			dyr (0)			dyr
hanum			han (1)			han
bryta			bryta (0)			bryta
han			han (1)			han
ut			ut (0)			ut
taka			taka (0)			taka
til			til (0)			til
föra			föra (0)			föra
skal			skula (1)			skula
han			han (1)			han
lata			lata (0)			lata
siþan			siþan (0)			siþan
halshugga			halshugga (0)			halshugga
han			han (1)			han
nu			nu (0)			nu
far			fa (0.333333)			fa
bonde			bonde (0)			bonde
buþ			buþ (0)			buþ
sum			sum (0)			sum
i			i (0)			i
hans			han (1)			han
up			up (0)			up
buþ			buþ (0)			buþ
af			af (0)			af
siþan			siþan (0)			siþan
hanum			han (1)			han
sum			sum (0)			sum
han			han (1)			han
skulde			skula (1)			skula
haua			hava (1)			hava
af			af (0)			af
siþan			siþan (0)			siþan
til			til (0)			til
fik			fa (1)			fa
buþ			buþ (0)			buþ
eigh			eigh (0)			eigh
han			han (1)			han
sum			sum (0)			sum
i			i (0)			i
hans			han (1)			han
han			han (1)			han
i			i (0)			i
hans			han (1)			han
buþ			buþ (0)			buþ
fangit			fa (1)			fa
böte			böta (1)			böta
fiuratighi			fiuratighi (0)			fiuratighi
nu			nu (0)			nu
sum			sum (0)			sum
han			han (1)			han
friþi			friþer (1)			friþer
sinum			sin (0.5)			sin
þy			þän (1)			þän
sum			sum (0)			sum
han			han (1)			han
innan			innan (0)			innan
for			for (0.5)			for
utan			utan (0)			utan
eghn			eghn (0)			eghn
sinne			sin (0.6)			sin
ma			magha (1)			magha
friþsökia			friþsökia (0)			friþsökia
han			han (1)			han
skulu			skula (1)			skula
han			han (1)			han
þy			þän (1)			þän
skulu			skula (1)			skula
sum			sum (0)			sum
atte			ägha (1)			ägha
þriþiu			þriþi (1)			þriþi
hanum			han (1)			han
laghlika			laghlika (0)			laghlika
sina			sin (0.5)			sin
skulu			skula (1)			skula
beta			beta (0)			beta
sum			sum (0)			sum
skulu			skula (1)			skula
beta			beta (0)			beta
sum			sum (0)			sum
ekki			äkke (1)			äkke
skal			skula (1)			skula
til			til (0)			til
taka			taka (0)			taka
sum			sum (0)			sum
utan			utan (0)			utan
sinum			sin (0.5)			sin
bonde			bonde (0)			bonde
sinum			sin (0.5)			sin
ma			magha (1)			magha
taka			taka (0)			taka
huarn			hvar (0.5)			hvar
sum			sum (0)			sum
will			vilia (1)			vilia
sum			sum (0)			sum
sum			sum (0)			sum
nu			nu (0)			nu
han			han (1)			han
sökia			sökia (0)			sökia
sum			sum (0)			sum
innan			innan (0)			innan
nat			nat (0)			nat
til			til (0)			til
sum			sum (0)			sum
innan			innan (0)			innan
nat			nat (0)			nat
siþan			siþan (0)			siþan
til			til (0)			til
sum			sum (0)			sum
þy			þän (1)			þän
ute			ute (0)			ute
sum			sum (0)			sum
i			i (0)			i
skils			skilia (1)			skilia
nu			nu (0)			nu
han			han (1)			han
innan			innan (0)			innan
nat			nat (0)			nat
hin			hin (0)			hin
fiuratighi			fiuratighi (0)			fiuratighi
siþan			siþan (0)			siþan
ma			magha (1)			magha
han			han (1)			han
sum			sum (0)			sum
sökia			sökia (0)			sökia
nu			nu (0)			nu
man			maþer (1)			maþer
drap			drap (0)			drap
hin			hin (0)			hin
sum			sum (0)			sum
til			til (0)			til
haua			hava (1)			hava
sum			sum (0)			sum
hin			hin (0)			hin
skal			skula (1)			skula
skal			skula (1)			skula
hin			hin (0)			hin
a mote			a mote (0)			a mote
siax			siäx (1)			siäx
sum			sum (0)			sum
hin			hin (0)			hin
suor			sväria (1)			sväria
in til			in til (0)			in til
hans			han (1)			han
siþan			siþan (0)			siþan
skal			skula (1)			skula
hans			han (1)			han
i			i (0)			i
standa			standa (0)			standa
skulu			skula (1)			skula
þe			þän (1)			þän
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
huart			hvar (1)			hvar
huar			hvar (1)			hvar
sum			sum (0)			sum
för			fyr (1)			fyr
þe			þän (1)			þän
sant			sander (1)			sander
nu			nu (0)			nu
annar			annar (0)			annar
byrþe			byrþe (0)			byrþe
þe			þän (1)			þän
sum			sum (0)			sum
för			fyr (1)			fyr
i			i (0)			i
þöm			þän (1)			þän
sum			sum (0)			sum
skulu			skula (1)			skula
fasta			fasta (0)			fasta
böta			böta (0)			böta
nu			nu (0)			nu
þe			þän (1)			þän
baþir			baþir (0)			baþir
sant			sander (1)			sander
um			um (0)			um
nu			nu (0)			nu
hin			hin (0)			hin
sum			sum (0)			sum
skulu			skula (1)			skula
þe			þän (1)			þän
hanum			han (1)			han
böte			böta (1)			böta
nu			nu (0)			nu
han			han (1)			han
han			han (1)			han
sum			sum (0)			sum
hin			hin (0)			hin
han			han (1)			han
fik			fa (1)			fa
gaf			giva (1)			giva
birghir			birghir (0)			birghir
iarl			iärl (1)			iärl
i			i (0)			i
han			han (1)			han
skal			skula (1)			skula
föra			föra (0)			föra
sum			sum (0)			sum
för			fyr (1)			fyr
nu			nu (0)			nu
han			han (1)			han
sum			sum (0)			sum
mote			mote (0)			mote
han			han (1)			han
han			han (1)			han
skal			skula (1)			skula
hin			hin (0)			hin
sin			sin (0.6)			sin
skal			skula (1)			skula
han			han (1)			han
friþlös			friþlös (0)			friþlös
fara			fara (1)			fara
um			um (0)			um
sum			sum (0)			sum
han			han (1)			han
friþlös			friþlös (0)			friþlös
utan			utan (0)			utan
þe			þän (1)			þän
sum			sum (0)			sum
til			til (0)			til
han			han (1)			han
sina			sin (0.5)			sin
siþan			siþan (0)			siþan
skal			skula (1)			skula
han			han (1)			han
friþlös			friþlös (0)			friþlös
fara			fara (1)			fara
um			um (0)			um
alla			alder (1)			alder
þe			þän (1)			þän
sum			sum (0)			sum
nu			nu (0)			nu
sum			sum (0)			sum
hanum			han (1)			han
siþan			siþan (0)			siþan
han			han (1)			han
friþlös			friþlös (0)			friþlös
laghlysning			laghlysning (0)			laghlysning
kom			koma (1)			koma
hanum			han (1)			han
i			i (0)			i
man			maþer (1)			maþer
böte			böta (1)			böta
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
han			han (1)			han
hanum			han (1)			han
siþan			siþan (0)			siþan
han			han (1)			han
han			han (1)			han
friþlös			friþlös (0)			friþlös
nu			nu (0)			nu
all			alder (1)			alder
sokn			sokn (0)			sokn
hanum			han (1)			han
böte			böta (1)			böta
sum			sum (0)			sum
nu			nu (0)			nu
hanum			han (1)			han
sum			sum (0)			sum
nu			nu (0)			nu
hanum			han (1)			han
fiuratighi			fiuratighi (0)			fiuratighi
sum			sum (0)			sum
nu			nu (0)			nu
han			han (1)			han
alla			alder (1)			alder
þe			þän (1)			þän
sum			sum (0)			sum
haua			hava (1)			hava
hanum			han (1)			han
skulu			skula (1)			skula
þe			þän (1)			þän
böta			böta (0)			böta
sum			sum (0)			sum
nu			nu (0)			nu
han			han (1)			han
siþan			siþan (0)			siþan
han			han (1)			han
friþlös			friþlös (0)			friþlös
hans			han (1)			han
sum			sum (0)			sum
han			han (1)			han
siþan			siþan (0)			siþan
skal			skula (1)			skula
standa			standa (0)			standa
biþa			biþa (0)			biþa
hans			han (1)			han
dör			döia (1)			döia
han			han (1)			han
i			i (0)			i
skulu			skula (1)			skula
taka			taka (0)			taka
hans			han (1)			han
han			han (1)			han
siþan			siþan (0)			siþan
nu			nu (0)			nu
man			maþer (1)			maþer
i			i (0)			i
dör			döia (1)			döia
i			i (0)			i
döia			döia (0)			döia
alla			alder (1)			alder
hanum			han (1)			han
nu			nu (0)			nu
han			han (1)			han
i			i (0)			i
skal			skula (1)			skula
han			han (1)			han
böta			böta (0)			böta
alla			alder (1)			alder
sum			sum (0)			sum
i			i (0)			i
nu			nu (0)			nu
þe			þän (1)			þän
til			til (0)			til
hans			han (1)			han
han			han (1)			han
friþlös			friþlös (0)			friþlös
aghu			ägha (1)			ägha
fiughurtan			fiughurtan (0)			fiughurtan
manna			maþer (1)			maþer
han			han (1)			han
do			döia (1)			döia
i			i (0)			i
iak			iak (0)			iak
böta			böta (0)			böta
han			han (1)			han
nu			nu (0)			nu
han			han (1)			han
friþlös			friþlös (0)			friþlös
skulu			skula (1)			skula
böta			böta (0)			böta
sum			sum (0)			sum
haua			hava (1)			hava
hanum			han (1)			han
i			i (0)			i
þöm			þän (1)			þän
sum			sum (0)			sum
til			til (0)			til
friþlös			friþlös (0)			friþlös
manz			maþer (1)			maþer
höra			höra (0)			höra
sum			sum (0)			sum
nu			nu (0)			nu
nu			nu (0)			nu
skal			skula (1)			skula
han			han (1)			han
sinna			sin (0.5)			sin
husfru			husfru (0)			husfru
sinna			sin (0.5)			sin
ma			magha (1)			magha
han			han (1)			han
skipta			skipta (0)			skipta
sinna			sin (0.5)			sin
husfru			husfru (0)			husfru
sinna			sin (0.5)			sin
siþan			siþan (0)			siþan
han			han (1)			han
hans			han (1)			han
skal			skula (1)			skula
skal			skula (1)			skula
soknare			soknare (0)			soknare
skulu			skula (1)			skula
nu			nu (0)			nu
þöm			þän (1)			þän
þe			þän (1)			þän
minne			minne (0)			minne
aghu			ägha (1)			ägha
fiughurtan			fiughurtan (0)			fiughurtan
manna			maþer (1)			maþer
mykit			mykil (1)			mykil
til			til (0)			til
nu			nu (0)			nu
faþur			faþir (1)			faþir
sin			sin (0.6)			sin
han			han (1)			han
ne			ne (0)			ne
mot			mot (0)			mot
aghu			ägha (1)			ägha
þön			þän (1)			þän
manna			maþer (1)			maþer
þön			þän (1)			þän
han			han (1)			han
han			han (1)			han
nu			nu (0)			nu
son			son (1)			son
sum			sum (0)			sum
han			han (1)			han
fran			fran (0)			fran
han			han (1)			han
fran			fran (0)			fran
manna			maþer (1)			maþer
han			han (1)			han
hanum			han (1)			han
til			til (0)			til
i			i (0)			i
hanum			han (1)			han
byght			byggia (1)			byggia
i			i (0)			i
han			han (1)			han
son			son (1)			son
sin			sin (0.6)			sin
han			han (1)			han
byght			byggia (1)			byggia
hanum			han (1)			han
i			i (0)			i
hanum			han (1)			han
þer			þär (0.75)			þär
sum			sum (0)			sum
skal			skula (1)			skula
byggia			byggia (0)			byggia
sum			sum (0)			sum
nu			nu (0)			nu
saghþe			sighia (1)			sighia
skal			skula (1)			skula
soknare			soknare (0)			soknare
þy at			þy at (0)			þy at
þy			þän (1)			þän
nu			nu (0)			nu
raþa			raþa (0)			raþa
þön			þän (1)			þän
undan			undan (0)			undan
af			af (0)			af
hans			han (1)			han
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
i			i (0)			i
sum			sum (0)			sum
tolf			tolf (0)			tolf
böte			böta (1)			böta
þre			þrir (1)			þrir
nu			nu (0)			nu
annar			annar (0)			annar
annar			annar (0)			annar
skal			skula (1)			skula
hanum			han (1)			han
sum			sum (0)			sum
sinum			sin (0.5)			sin
huarn			hvar (0.5)			hvar
beta			beta (0)			beta
böte			böta (1)			böta
i			i (0)			i
tiughu			tiughu (0)			tiughu
friþi			friþer (1)			friþer
sinum			sin (0.5)			sin
han			han (1)			han
hans			han (1)			han
flyia			flya (1)			flya
nu			nu (0)			nu
amote			amote (0)			amote
amote			amote (0)			amote
sum			sum (0)			sum
amote			amote (0)			amote
nu			nu (0)			nu
um			um (0)			um
þry			þrir (1)			þrir
in			in (0)			in
sum			sum (0)			sum
han			han (1)			han
tiughu			tiughu (0)			tiughu
aldrigh			aldrigh (0)			aldrigh
i			i (0)			i
hanum			han (1)			han
utan			utan (0)			utan
nytakin			nytakin (0)			nytakin
til			til (0)			til
han			han (1)			han
sina			sin (0.5)			sin
fiuratighi			fiuratighi (0)			fiuratighi
af			af (0)			af
ma			magha (1)			magha
han			han (1)			han
þe			þän (1)			þän
skulu			skula (1)			skula
böta			böta (0)			böta
sum			sum (0)			sum
haua			hava (1)			hava
þöm			þän (1)			þän
þe			þän (1)			þän
haua			hava (1)			hava
þöm			þän (1)			þän
nu			nu (0)			nu
manne			maþer (1)			maþer
i			i (0)			i
hanum			han (1)			han
fiuratighi			fiuratighi (0)			fiuratighi
tak			taka (1)			taka
i			i (0)			i
hanum			han (1)			han
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
böte			böta (1)			böta
nu			nu (0)			nu
skal			skula (1)			skula
þön			þän (1)			þän
oranbot			oranbot (0)			oranbot
böta			böta (0)			böta
sum			sum (0)			sum
siunde			siunde (0)			siunde
fiura			fiurir (1)			fiurir
skulu			skula (1)			skula
lyti			luter (1)			luter
böta			böta (0)			böta
sambroþir			sambroþir (0)			sambroþir
til			til (0)			til
han			han (1)			han
halft			halver (1)			halver
sum			sum (0)			sum
siþan			siþan (0)			siþan
sum			sum (0)			sum
hanum			han (1)			han
han			han (1)			han
halft			halver (1)			halver
siþan			siþan (0)			siþan
þe			þän (1)			þän
sum			sum (0)			sum
innan			innan (0)			innan
til			til (0)			til
man			maþer (1)			maþer
sum			sum (0)			sum
man			maþer (1)			maþer
sum			sum (0)			sum
lyti			luter (1)			luter
sum			sum (0)			sum
han			han (1)			han
halft			halver (1)			halver
halft			halver (1)			halver
sum			sum (0)			sum
hanum			han (1)			han
nu			nu (0)			nu
sum			sum (0)			sum
hanum			han (1)			han
han			han (1)			han
skal			skula (1)			skula
böta			böta (0)			böta
halft			halver (1)			halver
af			af (0)			af
þy			þän (1)			þän
sum			sum (0)			sum
af			af (0)			af
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
han			han (1)			han
han			han (1)			han
hanum			han (1)			han
oranbot			oranbot (0)			oranbot
böta			böta (0)			böta
nu			nu (0)			nu
oran			oran (0)			oran
manna			maþer (1)			maþer
aghu			ägha (1)			ägha
nu			nu (0)			nu
hin			hin (0)			hin
inne			inne (0)			inne
sum			sum (0)			sum
ma			magha (1)			magha
hin			hin (0)			hin
standa			standa (0)			standa
nu			nu (0)			nu
annar			annar (0)			annar
sunnan			sunnan (0)			sunnan
ma			magha (1)			magha
hin			hin (0)			hin
standa			standa (0)			standa
norþan			norþan (0)			norþan
nu			nu (0)			nu
aghu			ägha (1)			ägha
þe			þän (1)			þän
baþir			baþir (0)			baþir
et			en (1)			en
han			han (1)			han
til			til (0)			til
ganga			ganga (0)			ganga
sum			sum (0)			sum
han			han (1)			han
sinne			sin (0.6)			sin
hanum			han (1)			han
þing			þing (0)			þing
sinne			sin (0.6)			sin
siþan			siþan (0)			siþan
skal			skula (1)			skula
han			han (1)			han
af			af (0)			af
ganga			ganga (0)			ganga
ma			magha (1)			magha
han			han (1)			han
haua			hava (1)			hava
utan			utan (0)			utan
han			han (1)			han
huar			hvar (1)			hvar
sum			sum (0)			sum
han			han (1)			han
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
han			han (1)			han
hanum			han (1)			han
olagha			olagha (0)			olagha
nu			nu (0)			nu
aghu			ägha (1)			ägha
sinum			sin (0.5)			sin
til			til (0)			til
oranbot			oranbot (0)			oranbot
sum			sum (0)			sum
þe			þän (1)			þän
skulu			skula (1)			skula
ora			ora (0)			ora
af			af (0)			af
til			til (0)			til
þe			þän (1)			þän
af			af (0)			af
nu			nu (0)			nu
man			maþer (1)			maþer
skal			skula (1)			skula
til			til (0)			til
taka			taka (0)			taka
nu			nu (0)			nu
i			i (0)			i
man			maþer (1)			maþer
kona			kona (0)			kona
skal			skula (1)			skula
mannin			maþer (1)			maþer
til			til (0)			til
taka			taka (0)			taka
nu			nu (0)			nu
ma			magha (1)			magha
til			til (0)			til
nu			nu (0)			nu
man			maþer (1)			maþer
um			um (0)			um
sum			sum (0)			sum
man			maþer (1)			maþer
man			maþer (1)			maþer
nu			nu (0)			nu
atte			ägha (1)			ägha
bonda			bonde (1)			bonde
han			han (1)			han
sum			sum (0)			sum
atte			ägha (1)			ägha
atte			ägha (1)			ägha
bonda			bonde (1)			bonde
han			han (1)			han
maghande			magha (1)			magha
hans			han (1)			han
nu			nu (0)			nu
kona			kona (0)			kona
man			maþer (1)			maþer
sum			sum (0)			sum
mannin			maþer (1)			maþer
skulu			skula (1)			skula
þöm			þän (1)			þän
sum			sum (0)			sum
för			fyr (1)			fyr
nu			nu (0)			nu
þaghar			þaghar (0)			þaghar
sinna			sin (0.5)			sin
ma			magha (1)			magha
til			til (0)			til
föra			föra (0)			föra
drap			drap (0)			drap
nu			nu (0)			nu
han			han (1)			han
sökia			sökia (0)			sökia
skal			skula (1)			skula
sum			sum (0)			sum
för			fyr (1)			fyr
han			han (1)			han
mote			mote (0)			mote
sum			sum (0)			sum
för			fyr (1)			fyr
nu			nu (0)			nu
han			han (1)			han
amote			amote (0)			amote
fiuratighi			fiuratighi (0)			fiuratighi
ma			magha (1)			magha
kona			kona (0)			kona
flya			flya (0)			flya
ma			magha (1)			magha
i			i (0)			i
lagha			lagh (1)			lagh
skal			skula (1)			skula
först			fyrst (1)			fyrst
böta			böta (0)			böta
siþan			siþan (0)			siþan
sins			sin (1)			sin
han			han (1)			han
i			i (0)			i
lagha			lagh (1)			lagh
skal			skula (1)			skula
hans			han (1)			han
han			han (1)			han
ma			magha (1)			magha
oranbot			oranbot (0)			oranbot
kona			kona (0)			kona
man			maþer (1)			maþer
ensak			ensak (0)			ensak
nu			nu (0)			nu
han			han (1)			han
flyia			flya (1)			flya
hans			han (1)			han
drap			drap (0)			drap
þy at			þy at (0)			þy at
han			han (1)			han
ma			magha (1)			magha
flyia			flya (1)			flya
fran			fran (0)			fran
sinum			sin (0.5)			sin
sum			sum (0)			sum
han			han (1)			han
oranbot			oranbot (0)			oranbot
nu			nu (0)			nu
skal			skula (1)			skula
oranbot			oranbot (0)			oranbot
böta			böta (0)			böta
skal			skula (1)			skula
han			han (1)			han
sum			sum (0)			sum
för			fyr (1)			fyr
han			han (1)			han
mote			mote (0)			mote
skal			skula (1)			skula
han			han (1)			han
sum			sum (0)			sum
för			fyr (1)			fyr
will			vilia (1)			vilia
han			han (1)			han
gen			gen (0)			gen
skal			skula (1)			skula
han			han (1)			han
böta			böta (0)			böta
fiuratighi			fiuratighi (0)			fiuratighi
will			vilia (1)			vilia
han			han (1)			han
böta			böta (0)			böta
þöm			þän (1)			þän
i			i (0)			i
lagha			lagh (1)			lagh
han			han (1)			han
skal			skula (1)			skula
han			han (1)			han
friþlös			friþlös (0)			friþlös
fara			fara (1)			fara
hans			han (1)			han
nu			nu (0)			nu
far			fa (0.333333)			fa
man			maþer (1)			maþer
gilt			gilder (1)			gilder
sum			sum (0)			sum
han			han (1)			han
sum			sum (0)			sum
han			han (1)			han
nu			nu (0)			nu
man			maþer (1)			maþer
skoghi			skogher (1)			skogher
huar			hvar (1)			hvar
sum			sum (0)			sum
han			han (1)			han
til			til (0)			til
fara			fara (1)			fara
sum			sum (0)			sum
þöm			þän (1)			þän
manne			maþer (1)			maþer
skal			skula (1)			skula
han			han (1)			han
þöm			þän (1)			þän
sum			sum (0)			sum
skal			skula (1)			skula
nu			nu (0)			nu
sum			sum (0)			sum
skal			skula (1)			skula
buþ			buþ (0)			buþ
han			han (1)			han
skal			skula (1)			skula
up			up (0)			up
þöm			þän (1)			þän
manne			maþer (1)			maþer
til			til (0)			til
fylghia			fylghia (0)			fylghia
han			han (1)			han
skal			skula (1)			skula
ganga			ganga (0)			ganga
han			han (1)			han
bani			bani (0)			bani
þöm			þän (1)			þän
manne			maþer (1)			maþer
skal			skula (1)			skula
hanum			han (1)			han
til			til (0)			til
fran			fran (0)			fran
rost			rast (1)			rast
nu			nu (0)			nu
innan			innan (0)			innan
nat			nat (0)			nat
fiuratighi			fiuratighi (0)			fiuratighi
innan			innan (0)			innan
nat			nat (0)			nat
laghlika			laghlika (0)			laghlika
in			in (0)			in
sina			sin (0.5)			sin
skal			skula (1)			skula
han			han (1)			han
skal			skula (1)			skula
han			han (1)			han
sina			sin (0.5)			sin
þry			þrir (1)			þrir
þing			þing (0)			þing
skulu			skula (1)			skula
hans			han (1)			han
skulu			skula (1)			skula
i			i (0)			i
eghn			eghn (0)			eghn
han			han (1)			han
skulu			skula (1)			skula
laghlika			laghlika (0)			laghlika
þriþiu			þriþi (1)			þriþi
af			af (0)			af
bot			bot (0)			bot
atta			atta (0)			atta
þy			þän (1)			þän
sum			sum (0)			sum
böte			böta (1)			böta
han			han (1)			han
innan			innan (0)			innan
nat			nat (0)			nat
sum			sum (0)			sum
nu			nu (0)			nu
nu			nu (0)			nu
friþlös			friþlös (0)			friþlös
man			maþer (1)			maþer
i			i (0)			i
skoghi			skogher (1)			skogher
nu			nu (0)			nu
han			han (1)			han
til			til (0)			til
byia			byr (1)			byr
bonda			bonde (1)			bonde
sinne			sin (0.6)			sin
nu			nu (0)			nu
iak			iak (0)			iak
til			til (0)			til
fara			fara (1)			fara
ganga			ganga (0)			ganga
bonde			bonde (0)			bonde
han			han (1)			han
i			i (0)			i
gruþ			gruþ (0)			gruþ
taka			taka (0)			taka
up			up (0)			up
aghu			ägha (1)			ägha
hanum			han (1)			han
laghlika			laghlika (0)			laghlika
til			til (0)			til
fylghia			fylghia (0)			fylghia
mughu			magha (1)			magha
haua			hava (1)			hava
nu			nu (0)			nu
þe			þän (1)			þän
sum			sum (0)			sum
aghu			ägha (1)			ägha
han			han (1)			han
af			af (0)			af
taka			taka (0)			taka
gen			gen (0)			gen
manne			maþer (1)			maþer
sum			sum (0)			sum
fiuratighi			fiuratighi (0)			fiuratighi
friþlös			friþlös (0)			friþlös
sum			sum (0)			sum
han			han (1)			han
i			i (0)			i
bonde			bonde (0)			bonde
han			han (1)			han
nu			nu (0)			nu
morþgiald			morþgiäld (1)			morþgiäld
skal			skula (1)			skula
han			han (1)			han
do			döia (1)			döia
af			af (0)			af
sylt			sylt (0)			sylt
sot			sot (0)			sot
gaf			giva (1)			giva
nat			nat (0)			nat
innan			innan (0)			innan
nat			nat (0)			nat
þy			þän (1)			þän
morþgiald			morþgiäld (1)			morþgiäld
skal			skula (1)			skula
skal			skula (1)			skula
all			alder (1)			alder
hion			hion (0)			hion
man			maþer (1)			maþer
sum			sum (0)			sum
man			maþer (1)			maþer
innan			innan (0)			innan
all			alder (1)			alder
þön			þän (1)			þän
morþgiald			morþgiäld (1)			morþgiäld
aghu			ägha (1)			ägha
morþgiald			morþgiäld (1)			morþgiäld
þön			þän (1)			þän
flere			flere (0)			flere
nu			nu (0)			nu
mantal			mantal (0)			mantal
huar			hvar (1)			hvar
morþgiald			morþgiäld (1)			morþgiäld
böta			böta (0)			böta
sum			sum (0)			sum
skils			skilia (1)			skilia
man			maþer (1)			maþer
gör			göra (1)			göra
morþgiald			morþgiäld (1)			morþgiäld
böta			böta (0)			böta
sum			sum (0)			sum
skils			skilia (1)			skilia
man			maþer (1)			maþer
morþgiald			morþgiäld (1)			morþgiäld
ut			ut (0)			ut
böte			böta (1)			böta
þre			þrir (1)			þrir
öra			öre (1)			öre
böte			böta (1)			böta
þre			þrir (1)			þrir
öra			öre (1)			öre
ut			ut (0)			ut
nu			nu (0)			nu
man			maþer (1)			maþer
sum			sum (0)			sum
man			maþer (1)			maþer
sum			sum (0)			sum
manna			maþer (1)			maþer
sinna			sin (0.5)			sin
huarghin			hvarghin (1)			hvarghin
han			han (1)			han
fiuratighi			fiuratighi (0)			fiuratighi
flyia			flya (1)			flya
hans			han (1)			han
nu			nu (0)			nu
man			maþer (1)			maþer
sum			sum (0)			sum
han			han (1)			han
fiuratighi			fiuratighi (0)			fiuratighi
hans			han (1)			han
han			han (1)			han
böta			böta (0)			böta
sum			sum (0)			sum
siþan			siþan (0)			siþan
han			han (1)			han
i			i (0)			i
nu			nu (0)			nu
af			af (0)			af
fiuratighi			fiuratighi (0)			fiuratighi
ma			magha (1)			magha
sum			sum (0)			sum
atte			ägha (1)			ägha
dylia			dylia (0)			dylia
saklös			saklös (0)			saklös
han			han (1)			han
þy			þän (1)			þän
böte			böta (1)			böta
sum			sum (0)			sum
ma			magha (1)			magha
þy at			þy at (0)			þy at
hans			han (1)			han
han			han (1)			han
man			maþer (1)			maþer
nu			nu (0)			nu
böta			böta (0)			böta
han			han (1)			han
i			i (0)			i
skal			skula (1)			skula
taka			taka (0)			taka
taka			taka (0)			taka
binda			binda (0)			binda
um			um (0)			um
fiuratighi			fiuratighi (0)			fiuratighi
nu			nu (0)			nu
bryti			bryti (0)			bryti
i			i (0)			i
han			han (1)			han
fiuratighi			fiuratighi (0)			fiuratighi
þöm			þän (1)			þän
taka			taka (0)			taka
gaf			giva (1)			giva
birghir			birghir (0)			birghir
iarl			iärl (1)			iärl
i			i (0)			i
för			fyr (1)			fyr
tolf			tolf (0)			tolf
nu			nu (0)			nu
bryti			bryti (0)			bryti
i			i (0)			i
han			han (1)			han
þöm			þän (1)			þän
iarl			iärl (1)			iärl
taka			taka (0)			taka
nu			nu (0)			nu
bryti			bryti (0)			bryti
i			i (0)			i
han			han (1)			han
þöm			þän (1)			þän
skal			skula (1)			skula
taka			taka (0)			taka
nu			nu (0)			nu
bryti			bryti (0)			bryti
han			han (1)			han
siax			siäx (1)			siäx
skal			skula (1)			skula
han			han (1)			han
haua			hava (1)			hava
fiuratighi			fiuratighi (0)			fiuratighi
sins			sin (1)			sin
nu			nu (0)			nu
sum			sum (0)			sum
i			i (0)			i
sum			sum (0)			sum
han			han (1)			han
utan			utan (0)			utan
sum			sum (0)			sum
nu			nu (0)			nu
bonda			bonde (1)			bonde
bryti			bryti (0)			bryti
han			han (1)			han
þöm			þän (1)			þän
taka			taka (0)			taka
nu			nu (0)			nu
brytia			bryti (1)			bryti
annar			annar (0)			annar
han			han (1)			han
manna			maþer (1)			maþer
han			han (1)			han
bryti			bryti (0)			bryti
sum			sum (0)			sum
bonde			bonde (0)			bonde
nu			nu (0)			nu
han			han (1)			han
sum			sum (0)			sum
för			fyr (1)			fyr
man			maþer (1)			maþer
först			fyrst (1)			fyrst
tolf			tolf (0)			tolf
siþan			siþan (0)			siþan
gaf			giva (1)			giva
birghir			birghir (0)			birghir
iarl			iärl (1)			iärl
i			i (0)			i
skulu			skula (1)			skula
fiuratighi			fiuratighi (0)			fiuratighi
först			fyrst (1)			fyrst
han			han (1)			han
innan			innan (0)			innan
taka			taka (0)			taka
i			i (0)			i
han			han (1)			han
skal			skula (1)			skula
taka			taka (0)			taka
þe			þän (1)			þän
sum			sum (0)			sum
han			han (1)			han
aghu			ägha (1)			ägha
taka			taka (0)			taka
nu			nu (0)			nu
man			maþer (1)			maþer
han			han (1)			han
sum			sum (0)			sum
för			fyr (1)			fyr
man			maþer (1)			maþer
hans			han (1)			han
þöm			þän (1)			þän
skal			skula (1)			skula
haua			hava (1)			hava
nu			nu (0)			nu
man			maþer (1)			maþer
han			han (1)			han
sum			sum (0)			sum
